id,firm,date_review,job_title,location,overall_rating,headline,pros,cons
612897,Novotel-Hotels,15/09/2016, Anonymous Employee,,5,Creating proposals for clients,Challenging environment to work in,Work tends to be repetitive
612898,Novotel-Hotels,20/09/2016, Anonymous Employee,,4,Big hotel run like a family business,"Great people, great atmosphere and great benefits (Accor) if you stay past 12 months.",The owner could probably invest more in the business to maintain the Resort.
612899,Novotel-Hotels,21/09/2016, Anonymous Employee,Jeddah,3,overall it was good exprience,good colleagues and great customers. i learned a lot and enjoyed the peaceful night shifts there,be informed that i was a student that time. the front office manager told me he will fix me in a shift and will be understandable to give me off days on my exams days. never happened he never give me an off day on my exams and the shift changing was brutal on me
612900,Novotel-Hotels,03/10/2016, Food and Beverage Supervisor,Lyon,3,F&B Supervisor,"Accor Hotel Opportunities around the world, good opp",None a very good hotel brand
612901,Novotel-Hotels,13/10/2016, Banquets Server,"Toronto, ON",2,"The Banquets and F&B Departments lack of management strategy, vision and people skills",Good hourly rate and flex hours,Negative working environment from the captain and the F&B manager
612902,Novotel-Hotels,10/11/2016, Housekeeper,Singapore,4,Part-time Housekeeping,"A basic job open to all able bodied people including older students. Work can be flexibly scheduled. There was no interview required to get this job. They treat workers fairly, and no prior experience is needed as you can 'train' by tagging along a senior housekeeper at the start before you get rooms on your own.",Housekeeping requires workers to do a lot of physical work in a short amount of time. You have to progressively get faster at it.
612903,Novotel-Hotels,06/12/2016, Anonymous Employee,,3,North American Market,"The CEO is a trailblazer, but it will be a while until his ideas makes its way to the North American Market","Without any real presence or customer recognition in North America, it will be difficult to attract and retain employees who share the values of the company."
612904,Novotel-Hotels,09/12/2016, Intern,Mumbai,4,Internship,"Good exposure for an internee. Exposure is given in all the major departments and you are given a chance to directly interact with the customers rather than work in the back-end.
The staff is also very friendly and supportive.","High working hours.
stipend is less.w"
612905,Novotel-Hotels,27/12/2016, ,,4,Novotel Sydney Central--Intern-- great experience,Novotel was an amazing place for my internship.  I worked in corporate events and human resources.  It really opened my eyes to the behind the scenes of a hotel.  Everyone is very friendly and care a lot about their jobs.  Novotels Peopleology training is inspiring.  What a great way to get everyone on the same page and excited about working,Working in a basement with no windows was a bit difficult.
612906,Novotel-Hotels,04/01/2017, ,,3,Comfortable environment,Fairly relaxed culture. Management is professional yet able to banter and have fun chats. Easy to get to know co-workers,Rostering is often inconsistent and it's hard to tell how many hours you might receive.
612907,Novotel-Hotels,07/02/2017, Anonymous Employee,,4,Work,The Managment staff are amazing.,The shifts are at awkward times.
612908,Novotel-Hotels,23/02/2017, Internship,Bangalore,4,good but too long work timings,"good knowledge 
work environment
work life balance","no stipend
too long working hours"
612909,Novotel-Hotels,14/03/2017, Guest Service Agent,"Toronto, ON",4,Good Salary!,"High Salary, Friendly Employees, Near subway, good employee rate for accommodation","Multi Work with so many duties, limited food menu and variety, poor internet always cause problem"
612910,Novotel-Hotels,23/03/2017, Reservation Manager,PhÃº Quá»‘c,5,Manager,Good environment to work with Senior Manager,Compensation and Benefit is a little lower than competitor.
612911,Novotel-Hotels,22/05/2017, Housekeeping Shift Leader,Edinburgh,1,Take bad advantage or hard working employees,Bound at end of year and free on duty meals.,"Promotions are a lie, made to do all jobs,your skills are taken advantage of then you are made to feel like you are bad. If your face dosent fit they demote you and treat you 4like a slave. Communication is terrible from reception and you work with people who don't speak English.  People are two faced , fake and lazy. Very bad management."
612912,Novotel-Hotels,04/06/2017, Reservations Agent,"London, England, England",3,Good for a start... Only look for company interests...,"- Full Bonus if the goals meet the hotel targets (extra month salary).
- 2x Free Bonus Break per year: company offers 2 complimentary 2-night stays per year (Bed & Breakfast)
- Staff rates
- Employee of the Month compensation (vouchers)","- Salary is low if you are not a Head of Department or a Supervisor.
- You are just a number. Company does not look for your interests, unless  they take advantage of them.
- Non-paid sick days."
612913,Novotel-Hotels,05/06/2017, Anonymous Employee,,3,Good Salary,Higher Salary compare to other hotel,"Multiple Duties, Too busy,"
612914,Novotel-Hotels,11/06/2017, Sales Manager,Madrid,3,Sales Manager,"Sharing expertise with a lot of clients, after 25 years in this Hotel",Not enough staff to manage business and drive clients to its full satisfaction
612915,Novotel-Hotels,09/07/2017, Captain,Dubai,2,Work is good but no chance for growth.,Work is easy here.Higer Managemnt(GM) is very supporting and understanding.,"No chance for growth coz, manager supports only candidates from her own nationality(Fillipino)."
612916,Novotel-Hotels,07/08/2017, Marketing Entry Level,Singapore,4,Great for Entry Level. A training base for the travel/hospitality industry.,Management is great. GM is super friendly and respects you as a person. Work at manageable pace. Minimal stress. No politics.,Communication with f&b can be tough as they hire mostly from people who does not have a background in that job level. The pros for this is that it is good to give opportunities to ppl who needs the experience but it might be a problem for people who work with them as they do not have enough experience.
612917,Novotel-Hotels,23/08/2017, Fb Team Member,"London, England, England",4,FB TEAM MEMBER,"Annual bonus, bonus break every six months","busy working environment, no stuff"
612918,Novotel-Hotels,05/09/2017, Housekeeping Supervisor,HyderÄbÄd,5,Good,Iam proud to say that iam  working in NOVOTEL,Some times team work will not get to work
612919,Novotel-Hotels,13/09/2017, Front Office Team Member,"Wembley, England, England",1,Front Office - Wembley London,"- The team is mostly ready to help and supportive
- great diversity in gender and nationalities which makes the environment lovely
- nice welcome to beginners offered by the company
- a lot of help between different departments 
- benefits and more but only after 3 months of service (at least)
- day by day benefits such as free food 
- the chance to talk with some extremely lovely customers","I am sad to say that my experience with Novotel was bad. 
- The actual training period is shorter than stated in the contract, and there is no designated person to do it - you learn from others. While this is good on the job training, I consider that a person who trains a beginner should be fully confident and able to use a certain software (and some of them are not - as technically they are still in training). 
- You will generally do more than your job description in order to cover for the missing part of the team.
- The schedule is chaotic and you will work extra time or many days in a row very soon.
- Unfortunately, if you do not have a high position, your constructive feedback for the company, ideas or concerns will not be taken seriously. Because of this, there is a miscommunication between departments and managers which negatively impacts both the job duties and environment."
612920,Novotel-Hotels,17/09/2017, ,,4,Good place to work,The team is absolutely amazing,The salary is quite low
612921,Novotel-Hotels,25/09/2017, Food and Beverage Attendant,Sydney,2,Food and Beverage attendant (Part-time),"Good people
Friendly and easy culture","Shifts are cut so easily
Favoritism"
612922,Novotel-Hotels,11/10/2017, Anonymous Employee,HyderÄbÄd,4,"Good Experience, Good Place to learn","I can say Novotel Hotel is one of the best hotel to work for, in terms of week off and holidays, and food for the staff. I got proper off to take rest and they make lots of benefits for staff.","But this is not good place in terms of salary, just work and learn from this Hotel and jump to another place if you are looking for financial settlement"
612923,Novotel-Hotels,13/10/2017, Anonymous Employee,"London, England, England",1,Unprofessional of management staffs.,"The hotel has
- Nice interior and is 
- Upscale.
- Well maintained.","- Attitudes of the middle and upper management.
- Unfair treatments are practised
- Minimum wage considering that you are living in London."
612924,Novotel-Hotels,14/10/2017, Housekeeping Manager Supervisor,Bandar,4,working novotel,at the end of the year there is a vacation with the hotel employees,hours of work from home
612925,Novotel-Hotels,27/10/2017, Anonymous Employee,,3,Sales Manager,The staff are very friendly and helpful,Salaryâ€™s are lower than expected
612926,Novotel-Hotels,08/11/2017, Server/Waiter,Syndal,3,Server/Waiter,I want to you with my effort and I dont want to depends on my parent,No human feelings and working in vain
612927,Novotel-Hotels,25/11/2017, Front Desk Receptionist,"Liverpool, England, England",1,Work hard and expect nothing good,"Some training.
Leftover food as lunch included.
Some people are nice.
Facilities are good.
Turnover rate is high so you get to know a lot of people.","Overtime on daily basis that never been paid, you can call it slavery or work for free.
Overtime is paid at minimum rate.
Worked at a minimum wage for such a long shifts.
No chance to get holidays on Christmas or any other kind of festivity.
Forget weekends.
Managerial style is old-fashioned, is abusive is non rewarding, is micro managing, is I employ my friends and  treat them better even if you work harder.
Managers have no idea about recruiting, in most of the cases they recruit people with no soft skills, people that do not know how to work with teams and work towards public.
The harder you work the more they abuse you the more they want to take advantage of you."
612928,Novotel-Hotels,05/12/2017, Anonymous Employee,,5,Sales Coordinator,A Great work place environment,none during my time there
612929,Novotel-Hotels,07/01/2018, Night Audit,Brisbane,4,An alright environment,"Good culture, fun staff team building activities and global brand",Average salary and disinterested middle management
612930,Novotel-Hotels,08/01/2018, Guest Relations,Sharm ash Shaykh,5,Working hard,Quickley can find a job which one to have a look.,"there are bad habits, but can to solve any problem."
612931,Novotel-Hotels,20/02/2018, Welcome Host,"London, England, England",4,Good experience,Got to meet amazing and interesting people. Is a great hotel. Is set in a great developing location.,Management organisation wasn't the best.
612932,Novotel-Hotels,21/02/2018, Anonymous Employee,,5,Perfect company,It's a great company. They love their employees.,"None, everything is great. I really like my job there."
612933,Novotel-Hotels,21/02/2018, Anonymous Employee,,4,hotel,good hotel to work for,long hours on some shifts
612934,Novotel-Hotels,25/02/2018, Anonymous Employee,,4,great,very good and team effort,they were good  no cons
612935,Novotel-Hotels,17/03/2018, Restaurant Manager,Plovdiv,4,Restaurant supervisor,"One of the best restaurants in the town, enjoying at my workplace, nice and pleasant staff","Very busy, the general managers are rude , not very good environment"
612936,Novotel-Hotels,22/03/2018, Anonymous Employee,,4,Very good hotel,Good team to work with,I don't see any disadvantage
612937,Novotel-Hotels,23/03/2018, Senior Team LEader,Calcutta,5,"Sr, Team Leader","Handling Stuff, Taking Briefing .Store Maintain ,MSD. CASHIER, CAST CONTROL, Taking Reservation,Information,Guest Complain solving, Spreed of Service Etc.","Improving the service style and guest satisfactions, give each and every guest reason to return, put in to feedback in social media."
612938,Novotel-Hotels,25/03/2018, Anonymous Employee,,1,All around a messy place to work at,"-Superficial friendliness from colleagues
-Laundry service for employee uniforms","-Lack of proper training, which leads to getting blamed for mistakes that will occur as a result of such.
-Lack of supportive attitude by managers and colleagues alike
-Unnecessary tension from managers attitudes, which causes the whole environment to be uncomfortable
-Not many opportunities for career advancement
-Blatant favoritism
-And many more."
612939,Novotel-Hotels,05/04/2018, Food and Beverage Associate,HyderÄbÄd,5,Food and beverage attandant,It's the best hotel and connected to world class Convanction centere . Feel welcome and there values are encouraged,It's a nice place to work with different delegate
612940,Novotel-Hotels,17/04/2018, Reservations Agent,Sydney,3,Reservations agent,Great company under Accor brand,No growth opportunities. Gets very busy at times.
612941,Novotel-Hotels,29/04/2018, Anonymous Employee,Bangalore,3,A growing brand,A vibrant and evolving company,"It is a great brand to work with, but as it is a combo hotel property. The mix of cultures and values lead to utter style of confusion."
612942,Novotel-Hotels,02/05/2018, Beverage Manager,Phuket,2,Keep walking,Good attitude bar skill meaning,Smoke drink travel internet dreams
612943,Novotel-Hotels,04/05/2018, Anonymous Employee,,1,Not worth it,None except people you work with,Long hrs. Underpaid & no progression.
612944,Novotel-Hotels,15/05/2018, Anonymous Employee,,5,Guest service agent,Very good indeed the friends are fun to work with,Shift long and not flexible for worker
612945,Novotel-Hotels,23/05/2018, Delivery Driver,"Tanga, Tanga, Tanga",5,I'm hard worker with full experience from various company,I just like to work here,they have not branch in Tanzania
612946,Novotel-Hotels,03/06/2018, Civil Engineer,"HyderÄbÄd, Sind, Sind",5,Sorry Not Worked Properly,Want To Work Aboard :),"No Experience,  Totalling Fresh,  Love To Work"
612947,Novotel-Hotels,09/06/2018, Front Desk Receptionist,"London, England, England",5,Excellent experience,"I had the opportunity to improve myself.
I attended different training courses.
Good salary.
Excellent atmosphere.",No downsides in my opinion.
612948,Novotel-Hotels,10/06/2018, Anonymous Employee,,3,okay,"dynamic, busy environment,  yearly bonus",salary could be better and more benefits
612949,Novotel-Hotels,26/06/2018, Anonymous Employee,"Toronto, ON",4,Hope its wonderful,Nice to work there  like,If you work hard nothing difficult
612950,Novotel-Hotels,17/07/2018, Front Desk,"Midland, TX",3,So So,"Good pay, Famous hotel chain world wide","Schedule is messed up, not anyone even superior will back up you."
612951,Novotel-Hotels,30/07/2018, House Cleaner,"Udupi, Odipu, Kunjibettu",5,Super company,This company give a good future to many member,Good company and it gives a future
612952,Novotel-Hotels,09/08/2018, Anonymous Employee,,4,Front Office,"Friendly, warm and efficient team",Have to know how to maintain work life balance
612953,Novotel-Hotels,27/08/2018, Front Desk Receptionist,"Sheffield, England, England",2,Decent. Overtime isnâ€™t paid.,"- Training
- Free hotel stays every 6 months
- Some company entertainment 
- Yearly bonus","Long hours, Overtime is NOT paid. You can work long hours without a break. Often if you are a strong team member you have to do busy shifts alone, with no help from management. 
Pay is low. 
No Christmas break. 
Management work a 9-5, which is frustrating."
612954,Novotel-Hotels,02/09/2018, Anonymous Employee,Cairns,4,Great,Team :work life balance/not much else,Communication /inexperienced Lazy management/looked own on line staff
612955,Novotel-Hotels,11/09/2018, E,"New York, NY",4,E-commerce Marketing Manager,"responsibilities, autonomy and large budget to manage",Lack of staff in the right department
612956,Novotel-Hotels,12/10/2018, FOOD and BEVERGAE Associate,Mumbai,4,"ALL ARE GOOD ,AND MY EXPERIENCE WAS EXCELLENT","All are good
 I got so many opportunities to go forward","NOTHING, only something u have to do 2 to 3 hrs more shift"
612957,Novotel-Hotels,18/10/2018, Anonymous Employee,,1,Not worth it,People working there are friendly,"Poor hours, bad management, poor paid, and seriously understaffed"
612958,Novotel-Hotels,23/10/2018, General Manager,"Bristol, England, England",5,Great Career Opportunities,Fast track positions and chose your preferred department - certainly makes you multi-skilled and keeps your interest,Not really unless restricted with the times you can work
612959,Novotel-Hotels,30/10/2018, Anonymous Employee,,4,Waiter,"Good job, atmosphere and location",None (maybe salary too low)
612960,Novotel-Hotels,12/11/2018, Anonymous Employee,,2,Not great for progress,"Development progress, good training programmes",Low pay and not really good for progress
612961,Novotel-Hotels,08/01/2019, Night Auditor,"London, England, England",5,Lots of perks for employees,Employees can enjoy lots of perks and it is not hard to get promoted,"When you see hotel from ""the back"" you realize it's not always 4 star"
612962,Novotel-Hotels,24/01/2019, Anonymous Employee,,4,Receptionist,"The people , and on the job training","The wage , hours, work life balance non existent"
612963,Novotel-Hotels,28/01/2019, Conference Coordinator,"Leeds, England, England",4,Nice hotel but needs better staff,"9-5 lifestyle in the conference department, General Manager is understanding, great benefits of free and discounted hotel stays, free food on shift, uniforms provided and potential for an extra months salary as an end of year bonus, rarely weekend work but if you do you get your time back in lieu","High turnover of staff, low moral, other managers are hard on staff unnecessarily and cause them to leave, canâ€™t decide between making the guests happy or making money,  end up doing the jobs of other departments which you never originally signed up for and get no thanks."
612964,Novotel-Hotels,06/02/2019, Anonymous Employee,,3,Room attendant,"Great team 
Good supervisor
Friendly and supportive staff","No work ethic 
No understanding of workers problems"
612965,Novotel-Hotels,10/02/2019, Food and Beverage Assistant,"Stansted, England, England",3,Good place to start work in the UK,"Easy to apply, easy to learn.","Not well organized, nobody care."
612966,Novotel-Hotels,12/02/2019, Chef,Visakhapatnam,5,Good,This is group of accor,Good for work i show my best
612967,Novotel-Hotels,19/02/2019, Anonymous Employee,,4,Good place to work,"Supportive management
Bonus scheme
Career progression
Good team atmosphere
Possibility to learn from other departments","Long shifts
Unsocial hours
Low pay
Salaries were not the same between team members
Some salaries of team members were quite similar to the ones for junior management"
612968,Novotel-Hotels,26/02/2019, Anonymous Employee,,4,Great company to grow.,Great company if you wish to progress.,Not very well paid for what you do.
612969,Novotel-Hotels,24/03/2019, Front Office,,4,"Great management, a lot of opportunity to grow, not the best salary.",Managers care a lot about you. Even if you make a lot of mistakes they will not fire you but help you to go in the right direction and improve. There are a lot of chances to grow and the job can give a lot of satisfactions. You feel like you are in a family where people help each other.,"Depends on the hotel you work but the salary is not the best. Usually you work on weekends and changing between night, morning and late shift can be stressful. In the hotel I used to work most of the time the canteen was very dirty and the food not the best."
612970,Novotel-Hotels,31/03/2019, Food and Beverage Attendant,Wollongong,4,"Passionate about customer service, reliable work","Friendly culture - be prepared to smile and say hello to anyone and everyone
Supportive management mostly
Incentive â€œgood on youâ€ cards and recognition for good customer reviews
Value tenure, plenty on employees there for 20+ years
Enthusiastic environment when working with those who enjoy it.
Great Peopleology/Heartist courses, teaches you what customers truly care about and want from customer experience.
To paraphrase the COO: â€œI want you to know you can do whatever you need to do in tough situations at work. You will never be criticised for going above and beyond in favour of the customer.â€","A few stress-head managers, but the good ones make it worth it. 
They are not too keen on people changing departments, but it does happen sometimes.
Incentives could be better, I occasionally felt like I cared more about my work than others and was worried about losing my motivation because of it.
Hospitality - be ready to work every weekend and public holiday, they understandably expect very flexible availabilities."
612971,Novotel-Hotels,03/04/2019, Receptionist,,5,Receptionist,Good company benefits and good staff,"Long hour day, poor pay for beginners"
612972,Novotel-Hotels,04/04/2019, Anonymous Employee,,5,Concierge,"job changed every day, time flew by, worked with a diverse range of people",set shifts of 6-3 or 3-12
612973,Novotel-Hotels,05/04/2019, Casual Barman,Brisbane,2,"Fundamental staffing issues, drug culture and bias management","Uniform cleaning allowance.
Constant hours and a fair/good wage for casual staff (full time maybe not)","NO Support in day to day working
Human resources are bias in the way of which they deal with staff. 
Drug abuse and alcohol abuse is common practice and known. When these offences happen little or no action is taken. 
Employees are paid to do a job, if they aren't doing it then others have to fill that void, unfair practice."
612974,Novotel-Hotels,08/04/2019, Any Job,HyderÄbÄd,4,For new job,Hotelier In food and beverage,Big events hotel In the city
612975,Novotel-Hotels,13/04/2019, Housekepping,"Pasir Panjang, ",4,Good team work,Its very easy for me,Understanding with  staff  godd comunication
612976,Novotel-Hotels,19/04/2019, Librarian,"Newyork, Scotland, Scotland",4,No experience training required,To serve better hotel customers,Previously not worked in any hotel
612977,Novotel-Hotels,30/04/2019, Anonymous Employee,Pune,1,Do not work,Working standard is high. You can learn many things.,There is a lot of politics in the organisation the HR also doesn't support. They play dirty games to kick out of the organisation. And take out money from you.
612978,Novotel-Hotels,05/05/2019, Anonymous Employee,,5,Porter and Concerige,"Management was supportive
Chance of progression
Training programs
They were flexible with my university hours
Friendly team","Standard hosptality hours
Guests can be annoying sometimes"
612979,Novotel-Hotels,06/05/2019, Assistant Manager,"Wellington, Wellington",4,its ok,big chain. allows movement. interdepartmental training.,not the best pay but better than industry average
612980,Novotel-Hotels,08/05/2019, Conference Banqueting Supervisor,,5,Friendly,Family Friendly  food discounts hours,low salary lot work busy
612981,Novotel-Hotels,08/05/2019, Receptionist,"Stevenage, England, England",1,Just awful,You got free toiletries out of the rooms,Too many to list unfortunately
612982,Novotel-Hotels,13/05/2019, Food and Beverage Associate,Pune,5,Assocaite,Good company and the staff are friendly,Nothing to have any downstrem fell for the company
612983,Novotel-Hotels,18/05/2019, Front Desk Receptionist,,4,Nice Hotel,"Free food, breaks, amazon vouchers, good team members",Old infrastructures for a 4 star hotel
612984,Novotel-Hotels,18/05/2019, Reception Supervisor,,3,Working hard for a minimum wage,"Double salary in December 
Free night accommodation 
Discounted rate within brand","Minimum wage salary
No progression within company
Unfair management"
612985,Novotel-Hotels,21/05/2019, Waiter,Pune,5,Feel proud to an employee of novotel,Good facilities for staff. I just like it,Nothing what I got here
612986,Novotel-Hotels,23/05/2019, Guest Service Team Member,"Brentford, England, England",4,Good,Enjoy working with friendly staff,Hours can sometimes run very late
612987,Novotel-Hotels,28/05/2019, Anonymous Employee,,4,Team leader,Great brand to work with Novotel,Good for single person
612988,Novotel-Hotels,02/06/2019, Assistant Manager,"London, England, England",5,Assistant manager,New challenge  new life  beautiful people,New life. New people  new manager
612989,Novotel-Hotels,10/06/2019, ,,4,Sales executive,Love working with international Brand,Work hard gain more and learn
612990,Novotel-Hotels,12/06/2019, Supervisor,VijayawÄda,5,I work in dubai i have good knowledge in service,I would like to improve my skills and communication,I have to take challenges that I can do my best
612991,Novotel-Hotels,14/06/2019, Anonymous Employee,,4,AKL Airport,"Culture, meet new people, fun, heartist","Pay is low for effort and input, no real extra benefits, large chains have many road blocks to progress (like environmental sustainability practises - too little)"
612992,Novotel-Hotels,14/06/2019, Commis Chef,"Manila, Manila, Manila",4,Cook,They make guest life more easier,O.T is not paid at Novotel Manila. I dont know to other hotel company
612993,Novotel-Hotels,24/06/2019, Anonymous Employee,,5,Best hotel,Good environment and work life balance,Everything is good nothing to say .
612994,Novotel-Hotels,24/06/2019, Executive Chef,,1,not as advertised,"Good people, good salary, good hours","no cooking involved, no management, untrustworthy"
612995,Novotel-Hotels,28/06/2019, Housekeeping,Jakarta,5,Work with integrity,"Want to nake ""WOW"" thing",Sometimes can forget have palnning
612996,Novotel-Hotels,01/07/2019, Night Supervisor,"London, England, England",3,Lots of  responsibilities for low salary.,Nice co-workers and nice place to get experience in hospitality.,Low salaries and stressful environment.
612997,Novotel-Hotels,09/07/2019, ,,3,Not good,No one will pressurise you for ur work,Happy to work with novotel
612998,Novotel-Hotels,09/07/2019, Guest Service Agent,"Mississauga, ON",4,Good job with good pay,Great and energizing team members.,Long shifts that require you to stand a lot.
612999,Novotel-Hotels,14/07/2019, IT Associate,Bangalore,4,IT associate,"8 week off, 21 Annual Off, Best place to work. Balanced work life",Nothing 80% Positive place to work.
613000,Novotel-Hotels,15/07/2019, Anonymous Employee,,5,Great work culture,Great work culture and good learning,Every day new challenges. New learnings
613001,Novotel-Hotels,29/07/2019, Assistant Sales Manager,Hong Kong,2,Assistant Sales Manager,"- Stable working hours
- Not much Overtime work","- Salary lower than market average.
- poor development chance"
613002,Novotel-Hotels,01/08/2019, Sous Chef,Calcutta,2,I like it,I like this job and company all so.,Becoz I have a lot of experience
613003,Novotel-Hotels,08/08/2019, Front Desk Receptionist,Melbourne,3,Average Company,"Staff discount,  nice guests, some very hard working people","Favouritism, micro management, management is very incompetent"
613004,Novotel-Hotels,09/08/2019, Food and Beverage Manager,"Reading, England, England",5,Fantastic opportunities for growth,"Benefits, working conditions, open to initiatives and change, diversity, opportunities for evolution",Lower salary (as industry standards apply)
613005,Novotel-Hotels,27/08/2019, Anonymous Employee,,2,"Great Environment, Poor Salary",Great working environment in my department,Salary is much lower than other hotels
613006,Novotel-Hotels,30/08/2019, ,,3,Good,"Good to work
Good organization
Good accommodation 
Good paysacle",Convenient to work overtime with organization
613007,Novotel-Hotels,06/09/2019, Hostess,"ÃÃ  Náºµng, ÃÃ  Náºµng, ÃÃ  Náºµng",3,Average working environment,"- Energetic working environment 
- Expanding relationships","-The Management is not so good
-Could not learn many things when worked here"
613008,Novotel-Hotels,15/09/2019, Anonymous Employee,,1,Novotel Suvarnabhumi Airport Hotel - under goverment and Thai style,"Nice and fun staffs, feel family","-If you are young, energetic and need to move fast, stay away from here.
-Recommend for people who just want to come to work and go home.
-Poor benefits to employees, low service charge
-Insufficient facilities.
-Too much save cost such as no OT for operation staffs who needed to work as guests request but they need to do O-Free.
-No medical insurance
-A lot of mafias
-Old people management
-Lots of owner sharing
-Bad cooperation from others departments
-Old fashion"
613009,Novotel-Hotels,17/09/2019, Anonymous Employee,,1,Not generalising,Good people to work with,No SOPs followed at the Pune location
613010,Novotel-Hotels,09/10/2019, Guest Relations,"London, England, England",3,Receptionist/Hotel Admin at London Novotel,"good exp in large company
4 freenights per year in any accor hotel in uk
fixed rate for employees - good discount","rota 1 week in advance (if youre lucky)
poor time keeping and absences so you will be called in on your days off to cover
days off are not two days in a row 
if you work day and night there are often times where your shifts do not allow time to recover your sleeping pattern"
613011,Novotel-Hotels,12/10/2019, Housekeeper,"Wolverhampton, England, England",1,Good job depending on the hotel,Keeps u busy and active,Unorganised rude staff  hygiene not good defo should get more pay for the hours
613012,Novotel-Hotels,13/10/2019, Guest Service Associate,"Chicago, IL",5,Nice property maintaining high standards ....,Good staff this property i was working before 2 yr only 2 months bt i like this property and management.,No pressure .. Enjoying with our work
613013,Novotel-Hotels,19/10/2019, Front Office Associate,Pune,3,Front Office Associate at Novotel Pune,Feeling of Working at a 5* Star hotel,Too long working hours with Peanut salary(Min 10-11hrs daily)
613014,Novotel-Hotels,25/10/2019, Anonymous Employee,Visakhapatnam,4,I was working full time here,"All time meals provided, good working environment",Less salary and working hours are more.
613015,Novotel-Hotels,29/10/2019, Anonymous Employee,,1,Manager,The only thing is the name of the company,"Low salary, unprofessional environment, lazy people and poor management"
613016,Novotel-Hotels,04/11/2019, Toronto Cente,"Toronto, ON",2,They don't know what they are doing,"benefits, pay is good, free meals","Upper Mgmt very contradictory and backstabbing.    cannot hold on to good managers/employees.  Terrible work environment, toxic atmosphere - 2 managers quiet at the same time.  Upper Mgmt won't even pay attention to  line staffs unless they are trying to get ""dirt"" on other staff or managers."
613017,Novotel-Hotels,07/11/2019, Food and Beverage,Wollongong,1,Disappointing.,"Amazing coworkers, amazing benefits (free birthday stay and dinner). Coworkers always ready for a laugh and to help out.","Management cares more about giving customers what they want than their staff, they cut wages and won't buy new equipment because we ""go over budget"", they cancel shifts and understaff, new staff don't get enough training. Restaurant has had 6 different managers in the last 3 years, there's a higher-up manager who yells at supervisors from different departments, petty, will have staff sent home if they believe you're not working.

No Respect for staff or FairWork."
613018,Novotel-Hotels,14/11/2019, Night Auditor,,4,Night Auditor Entry Level,Multi-task Job allows to learn  various roles,Night Duty is not for everyday
613019,Novotel-Hotels,15/11/2019, Food and Beverage,"Perth, Western Australia, Western Australia",5,Accor Hotels - One of the best hospitality group to work with,"Good culture, friendly team and management",Nothing at the moment
613020,Novotel-Hotels,16/11/2019, Chef De Partie,HyderÄbÄd,5,5star,It's great place to work because of well organized staff and standards,Need better training classes for new joiners
613021,Novotel-Hotels,20/11/2019, Assistant Hotel Manager,WÃ¼rzburg,5,"Efficiency, proactiveness  and team work",Efficiency and delivery is their hallmark,Have never worked here before
613022,Novotel-Hotels,22/11/2019, Front Office All Rounder,,1,Bad,Nothing. It was really horrible,Poor management and double standards
613023,Novotel-Hotels,02/12/2019, Conference Coordinator,"Glasgow, Scotland, Scotland",4,Good overall,"Fair pay
Good benefits system
Good support from management","No sick pay 
Shift working"
613024,Novotel-Hotels,03/12/2019, ,,4,Wonderful experience,"Working culture
Mangement 
Benefits
Promotions
Change
Best place to work","Work life balance
Salaries
Stressful
Hectic little
Unorganized"
613025,Novotel-Hotels,04/12/2019, Duty Manager,Visakhapatnam,4,Responsible,Great opportunity to start carrers,No downside in this hotel
613026,Novotel-Hotels,10/12/2019, Anonymous Employee,,3,Great experience due to great boss,Try hard to keep staff happy,Don't always succeed in keeping staff happy
613027,Novotel-Hotels,11/12/2019, Anonymous Employee,,4,F&B,Staff were great to work with. And regulars to the hotel always made my day having said that most of the guests were good,One of my hods was not the best
613028,Novotel-Hotels,02/01/2020, Anonymous Employee,,5,Best place to work,Employee care good place to work,Nothing to share good place to work best place to work
613029,Novotel-Hotels,06/01/2020, Maintenance Engineer,,4,Okayish,"Free food, breaks ,different everyday","Salary, salarry, salary, salary , salary"
613030,Novotel-Hotels,25/01/2020, Management Trainee,Khopoli,2,Beware of the Management Politics,Working there you have some benefits of using the employee card where you get discounted stays at various hotels under the AccorGroup in the country you are working in.,Workplace politics are on a whole different level.
613031,Novotel-Hotels,28/01/2020, Team Leader,Bangalore,3,"Good location, always busy","Policy, working hours, staff benefits","Team coordination, management sucks, age old procedure"
613032,Novotel-Hotels,30/01/2020, New Home Sales Consultant,"Raipur, Chhattisgarh, Chhattisgarh",5,Good,For experience  good for this job,Osm good exclusive interview my
613033,Novotel-Hotels,04/02/2020, ,,4,Two years I spent there learned very little and just ran through the motions.,Good culture.  Nice environment to work in.,Not a lot of room for growth within.  More of a stepping stone.
613034,Novotel-Hotels,08/02/2020, Cashier,Al Mariah United Group,5,"Great experience,",I love to work with my job..,I am ready to face And solve every problem..
613035,Novotel-Hotels,08/02/2020, Store Keeper,Dubai,4,Receiving the goods  and keeping in  concern stores,It is a worldwide organisation in hospitality industry. Its my passion to work for this international property.,There is nothing as such.
613036,Novotel-Hotels,13/02/2020, Restaurant Manager,Lucknow,4,Good company to grow with,"Employee engagement, friendly culture, approach to reach higher Mgt, world standard","Quite low salary structure, missing connection within the Heirarchy"
613037,Novotel-Hotels,18/02/2020, Waiter,,4,Standard hospo place,People around you/fellow colleagues,Management/ getting anything done or on board
